City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,lumeje,-11.55,20.7833,17.81,97,100,0.81,AO,1680403548
153,nome,64.5011,-165.4064,-3.8,86,100,7.2,US,1680403257
154,maragogi,-9.0122,-35.2225,24.75,89,100,1.19,BR,1680403548
155,lorengau,-2.0226,147.2712,28.31,77,85,2.06,PG,1680403548
156,teguldet,57.3064,88.1667,-7.3,65,100,3.25,RU,1680403548
157,ko samui,9.5357,99.9357,29.95,70,20,4.12,TH,1680403370
158,padang,-0.9492,100.3543,27.03,67,71,1.54,ID,1680403294
159,katherine,-14.4667,132.2667,34.18,43,11,2.06,AU,1680403334
160,bengkulu,-3.8004,102.2655,27.74,66,94,2.05,ID,1680403549
161,lazaro cardenas,17.9583,-102.2,24.61,67,65,2.24,MX,1680403550
162,mitu,1.1983,-70.1733,21.58,98,98,0.81,CO,1680403550
163,pisco,-13.7,-76.2167,23.03,88,0,7.2,PE,1680403298
164,plettenberg bay,-34.0527,23.3716,17.24,55,0,1.19,ZA,1680403551
165,sosnogorsk,63.6023,53.8817,-2.08,96,100,1.99,RU,1680403551
166,luau,-10.7073,22.2247,17.71,98,100,1.13,AO,1680403551
167,yeppoon,-23.1333,150.7333,20.88,77,100,6.87,AU,1680403551
168,mildura,-34.2,142.15,18.93,47,0,3.83,AU,1680403552
169,carutapera,-1.195,-46.02,23.55,95,100,1.55,BR,1680403552
170,half moon bay,37.4636,-122.4286,13.88,76,0,5.66,US,1680403518
171,limenaria,40.6261,24.5786,14.97,71,100,2.21,GR,1680403552
172,sisimiut,66.9395,-53.6735,-15.79,67,78,4.05,GL,1680403552
173,chokurdakh,70.6333,147.9167,-22.22,94,85,3.91,RU,1680403553
174,sur,22.5667,59.5289,26.48,54,10,3.68,OM,1680403303
175,andenes,69.3143,16.1194,-2.82,79,75,3.09,NO,1680403301
176,iquique,-20.2208,-70.1431,24.02,82,95,1.13,CL,1680403438
177,general roca,-39.0333,-67.5833,20.9,37,63,3.61,AR,1680403403
178,qaanaaq,77.484,-69.3632,-24.95,61,12,2.95,GL,1680403554
179,carnarvon,-24.8667,113.6333,26.4,64,54,4.64,AU,1680403554
180,bethel,41.3712,-73.414,11.17,85,40,2.06,US,1680403456
181,bronkhorstspruit,-25.8102,28.7425,12.93,88,2,1.49,ZA,1680403554
182,scarborough,54.2797,-0.4044,5.76,87,96,1.34,GB,1680403520
183,te anau,-45.4167,167.7167,10.68,83,98,0.39,NZ,1680403555
184,alofi,-19.0595,-169.9187,28.94,74,39,6.17,NU,1680403282
185,husavik,66.0449,-17.3389,0.02,77,7,7.1,IS,1680403555
186,cairns,-16.9167,145.7667,32.28,76,97,3.09,AU,1680403475
187,myszkow,50.5752,19.3246,7.58,95,99,2.74,PL,1680403556
188,san cristobal,7.7669,-72.225,19.1,93,95,1.11,VE,1680403556
189,ternate,0.8,127.4,26.51,85,100,5.77,ID,1680403556
190,saint-pierre,-21.3393,55.4781,23.82,73,0,2.06,RE,1680403308
191,abha,18.2164,42.5053,14.14,88,20,2.57,SA,1680403556
192,nagorsk,59.3172,50.8078,0.13,92,83,2.46,RU,1680403557
193,mabaruma,8.2,-59.7833,23.29,89,71,1.7,GY,1680403557
194,nemuro,43.3236,145.575,2.08,67,2,8.32,JP,1680403299
195,richards bay,-28.783,32.0377,20.05,92,5,1.75,ZA,1680403444
196,kijang,35.2442,129.2139,19.85,59,0,10.79,KR,1680403557
197,piscolt,47.5833,22.3,9.96,94,100,1.46,RO,1680403558
198,antalaha,-14.9003,50.2788,23.39,89,100,1.98,MG,1680403558
199,mollendo,-17.0231,-72.0147,23.7,81,61,0.31,PE,1680403558
200,beloha,-25.1667,45.05,21.16,94,49,3.37,MG,1680403273
201,lensk,60.7253,114.9278,-8.21,67,81,3.84,RU,1680403559
202,atbasar,51.8,68.3333,-4.13,75,3,5.01,KZ,1680403559
203,bathsheba,13.2167,-59.5167,26.34,73,40,11.32,BB,1680403277
204,majdanpek,44.4277,21.946,5.11,95,49,2.07,RS,1680403559
205,tahta,26.7693,31.5021,14.86,39,0,3.01,EG,1680403466
206,tanout,14.9709,8.8879,21.03,11,29,4.26,NE,1680403560
207,gat,31.61,34.7642,11.33,71,0,0.8,IL,1680403560
208,east london,-33.0153,27.9116,19.54,85,1,4.1,ZA,1680403561
209,mount gambier,-37.8333,140.7667,16.18,53,97,1.72,AU,1680403561
210,porto novo,6.4965,2.6036,28.9,82,81,2.92,BJ,1680403561
211,nicoya,10.1483,-85.452,25.23,67,76,5.42,CR,1680403562
212,puerto baquerizo moreno,-0.9,-89.6,26.44,81,96,3.2,EC,1680403562
213,rognan,67.0953,15.3878,-6.64,91,68,3.23,NO,1680403562
214,kasamwa,-2.85,32.4333,15.73,94,52,0.91,TZ,1680403563
215,norman wells,65.282,-126.8329,-9.98,62,75,2.06,CA,1680403563
216,atuona,-9.8,-139.0333,27.12,74,8,5.71,PF,1680403563
217,kruisfontein,-34.0033,24.7314,14.32,73,0,2.09,ZA,1680403564
218,thoen,17.6129,99.2161,35.37,33,4,1.46,TH,1680403564
219,quang ngai,15.1167,108.8,29.16,67,85,3.08,VN,1680403564
220,vanimo,-2.6741,141.3028,27.79,82,99,1.03,PG,1680403565
221,pevek,69.7008,170.3133,-23.43,90,100,2.44,RU,1680403481
222,hasaki,35.7333,140.8333,17.22,67,100,9.54,JP,1680403566
223,acapulco,16.8634,-99.8901,27.9,65,0,2.06,MX,1680403440
224,klaksvik,62.2266,-6.589,4.51,83,100,3.51,FO,1680403566
225,cabo san lucas,22.8909,-109.9124,28.17,39,75,4.12,MX,1680403567
226,muzhi,65.3667,64.6667,1.15,86,52,7.32,RU,1680403567
227,lagoa,39.05,-27.9833,16.34,85,3,14.16,PT,1680403568
228,verkhnyaya inta,65.9811,60.3094,-3.29,94,100,4.15,RU,1680403568
229,teknaf,20.8624,92.3058,27.34,69,32,2.32,BD,1680403569
230,camocim,-2.9022,-40.8411,24.18,90,98,0.69,BR,1680403569
231,touros,-5.1989,-35.4608,24.51,89,100,2.82,BR,1680403569
232,bintulu,3.1667,113.0333,28.23,78,20,2.06,MY,1680403570
233,shingu,33.7333,135.9833,16.66,80,100,7.51,JP,1680403571
234,arona,28.0996,-16.681,17.73,63,0,7.2,ES,1680403307
235,orumiyeh,37.5527,45.0761,-1.25,55,20,1.03,IR,1680403506
236,sitka,57.0531,-135.33,3.94,81,75,1.54,US,1680403572
237,imst,47.2684,10.6698,-4.51,95,95,1.98,AT,1680403572
238,mandalgovi,45.7625,106.2708,-9.08,57,20,10.39,MN,1680403547
239,wilmington,34.2257,-77.9447,21.95,77,0,7.72,US,1680403573
240,taoudenni,22.6783,-3.9836,25.4,9,0,4.44,ML,1680403573
241,mount isa,-20.7333,139.5,29.87,25,100,5.14,AU,1680403573
